Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI
2022-05-01,00.03.38.00,Data Log,Log Period,-0.3,0.8,0.0,36.1,30,184193.4,56001.4,44172.8,282482.6,0,0,366678.4,16225.5,75515.6,206925.2,5.0,0.031479538300104935,Inspecting
2022-05-01,00.13.42.00,Data Log,Log Period,-0.3,0.9,0.0,36.2,30,184193.4,56001.5,44172.8,282482.8,0,0,366678.6,16225.5,75515.6,206925.2,5.0,0.031479538300104935,Inspecting
2022-05-01,00.23.46.00,Data Log,Log Period,-0.3,0.9,0.0,36.1,30,184193.4,56001.5,44172.8,282483.0,0,0,366678.7,16225.6,75515.6,206925.2,5.0,0.031479538300104935,Inspecting
2022-05-01,00.33.50.00,Data Log,Log Period,-0.4,0.9,0.0,35.8,29,184193.4,56001.6,44172.8,282483.2,0,0,366678.9,16225.7,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting
2022-05-01,00.43.54.05,Data Log,Log Period,-0.3,0.8,0.0,35.6,30,184193.4,56001.6,44172.8,282483.4,0,0,366679.0,16225.7,75515.6,206925.2,5.0,0.031479538300104935,Inspecting
2022-05-01,00.53.58.04,Data Log,Log Period,-0.3,0.8,0.0,35.1,30,184193.4,56001.7,44172.8,282483.6,0,0,366679.1,16225.8,75515.6,206925.2,5.0,0.031479538300104935,Inspecting
2022-05-01,01.04.02.04,Data Log,Log Period,-0.3,0.8,0.0,36.6,29,184193.4,56001.7,44172.8,282483.8,0,0,366679.3,16225.9,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting
2022-05-01,01.14.06.04,Data Log,Log Period,-0.3,0.9,0.0,36.9,29,184193.4,56001.8,44172.8,282484.0,0,0,366679.5,16225.9,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting
2022-05-01,01.24.10.00,Data Log,Log Period,-0.4,1.7,0.0,36.8,29,184193.4,56001.8,44172.8,282484.2,0,0,366679.6,16226.0,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting
2022-05-01,01.34.14.00,Data Log,Log Period,-0.3,0.9,0.0,36.6,29,184193.4,56001.9,44172.8,282484.4,0,0,366679.8,16226.1,75515.6,206925.2,4.833333333333333,0.030430220356768102,Inspecting
